,STATE,Year,Population
0,AL,2015,4852347
1,AK,2015,737498
2,AZ,2015,6829676
3,AR,2015,2978048
4,CA,2015,38918045
5,CO,2015,5450623
6,CT,2015,3587122
7,DE,2015,941252
8,DC,2015,675400
9,FL,2015,20209042
10,GA,2015,10178447
11,HI,2015,1422052
12,ID,2015,1651059
13,IL,2015,12858913
14,IN,2015,6608422
15,IA,2015,3120960
16,KS,2015,2909011
17,KY,2015,4425976
18,LA,2015,4664628
19,ME,2015,1328262
20,MD,2015,5985562
21,MA,2015,6794228
22,MI,2015,9931715
23,MN,2015,5482032
24,MS,2015,2988471
25,MO,2015,6071732
26,MT,2015,1030475
27,NE,2015,1891277
28,NV,2015,2866939
29,NH,2015,1336350
30,NJ,2015,8867949
31,NM,2015,2089291
32,NY,2015,19654666
33,NC,2015,10031646
34,ND,2015,754066
35,OH,2015,11617527
36,OK,2015,3909500
37,OR,2015,4015792
38,PA,2015,12784826
39,RI,2015,1056065
40,SC,2015,4891938
41,SD,2015,853988
42,TN,2015,6591170
43,TX,2015,27470056
44,UT,2015,2981835
45,VT,2015,625216
46,VA,2015,8361808
47,WA,2015,7163657
48,WV,2015,1842050
49,WI,2015,5760940
50,WY,2015,585613
51,PR,2015,3473232
52,AL,2016,4863525
53,AK,2016,741456
54,AZ,2016,6941072
55,AR,2016,2989918
56,CA,2016,39167117
57,CO,2016,5539215
58,CT,2016,3578141
59,DE,2016,948921
60,DC,2016,685815
61,FL,2016,20613477
62,GA,2016,10301890
63,HI,2016,1427559
64,ID,2016,1682380
65,IL,2016,12820527
66,IN,2016,6634304
67,IA,2016,3131371
68,KS,2016,2910844
69,KY,2016,4438182
70,LA,2016,4678135
71,ME,2016,1331317
72,MD,2016,6003323
73,MA,2016,6823608
74,MI,2016,9950571
75,MN,2016,5522744
76,MS,2016,2987938
77,MO,2016,6087135
78,MT,2016,1040859
79,NE,2016,1905616
80,NV,2016,2917563
81,NH,2016,1342307
82,NJ,2016,8870827
83,NM,2016,2091630
84,NY,2016,19633428
85,NC,2016,10154788
86,ND,2016,754434
87,OH,2016,11634370
88,OK,2016,3926331
89,OR,2016,4089976
90,PA,2016,12782275
91,RI,2016,1056770
92,SC,2016,4957968
93,SD,2016,862996
94,TN,2016,6646010
95,TX,2016,27914410
96,UT,2016,3041868
97,VT,2016,623657
98,VA,2016,8410106
99,WA,2016,7294771
100,WV,2016,1831023
101,WI,2016,5772628
102,WY,2016,584215
103,PR,2016,3406672
104,AL,2017,4874486
105,AK,2017,739700
106,AZ,2017,7044008
107,AR,2017,3001345
108,CA,2017,39358497
109,CO,2017,5611885
110,CT,2017,3573297
111,DE,2017,956823
112,DC,2017,694906
113,FL,2017,20963613
114,GA,2017,10410330
115,HI,2017,1424393
116,ID,2017,1717715
117,IL,2017,12778828
118,IN,2017,6658078
119,IA,2017,3141550
120,KS,2017,2908718
121,KY,2017,4452268
122,LA,2017,4670560
123,ME,2017,1334612
124,MD,2017,6023868
125,MA,2017,6859789
126,MI,2017,9973114
127,MN,2017,5566230
128,MS,2017,2988510
129,MO,2017,6106670
130,MT,2017,1052482
131,NE,2017,1915947
132,NV,2017,2969905
133,NH,2017,1348787
134,NJ,2017,8885525
135,NM,2017,2091784
136,NY,2017,19589572
137,NC,2017,10268233
138,ND,2017,754942
139,OH,2017,11659650
140,OK,2017,3931316
141,OR,2017,4143625
142,PA,2017,12787641
143,RI,2017,1055673
144,SC,2017,5021268
145,SD,2017,872868
146,TN,2017,6708799
147,TX,2017,28295273
148,UT,2017,3101042
149,VT,2017,624344
150,VA,2017,8463587
151,WA,2017,7423362
152,WV,2017,1817004
153,WI,2017,5790186
154,WY,2017,578931
155,PR,2017,3325286
156,AL,2018,4887681
157,AK,2018,735139
158,AZ,2018,7158024
159,AR,2018,3009733
160,CA,2018,39461588
161,CO,2018,5691287
162,CT,2018,3571520
163,DE,2018,965479
164,DC,2018,701547
165,FL,2018,21244317
166,GA,2018,10511131
167,HI,2018,1420593
168,ID,2018,1750536
169,IL,2018,12723071
170,IN,2018,6695497
171,IA,2018,3148618
172,KS,2018,2911359
173,KY,2018,4461153
174,LA,2018,4659690
175,ME,2018,1339057
176,MD,2018,6035802
177,MA,2018,6882635
178,MI,2018,9984072
179,MN,2018,5606249
180,MS,2018,2981020
181,MO,2018,6121623
182,MT,2018,1060665
183,NE,2018,1925614
184,NV,2018,3027341
185,NH,2018,1353465
186,NJ,2018,8886025
187,NM,2018,2092741
188,NY,2018,19530351
189,NC,2018,10381615
190,ND,2018,758080
191,OH,2018,11676341
192,OK,2018,3940235
193,OR,2018,4181886
194,PA,2018,12800922
195,RI,2018,1058287
196,SC,2018,5084156
197,SD,2018,878698
198,TN,2018,6771631
199,TX,2018,28628666
200,UT,2018,3153550
201,VT,2018,624358
202,VA,2018,8501286
203,WA,2018,7523869
204,WV,2018,1804291
205,WI,2018,5807406
206,WY,2018,577601
207,PR,2018,3193354
208,AL,2019,4903185
209,AK,2019,731545
210,AZ,2019,7278717
211,AR,2019,3017804
212,CA,2019,39512223
213,CO,2019,5758736
214,CT,2019,3565287
215,DE,2019,973764
216,DC,2019,705749
217,FL,2019,21477737
218,GA,2019,10617423
219,HI,2019,1415872
220,ID,2019,1787065
221,IL,2019,12671821
222,IN,2019,6732219
223,IA,2019,3155070
224,KS,2019,2913314
225,KY,2019,4467673
226,LA,2019,4648794
227,ME,2019,1344212
228,MD,2019,6045680
229,MA,2019,6892503
230,MI,2019,9986857
231,MN,2019,5639632
232,MS,2019,2976149
233,MO,2019,6137428
234,MT,2019,1068778
235,NE,2019,1934408
236,NV,2019,3080156
237,NH,2019,1359711
238,NJ,2019,8882190
239,NM,2019,2096829
240,NY,2019,19453561
241,NC,2019,10488084
242,ND,2019,762062
243,OH,2019,11689100
244,OK,2019,3956971
245,OR,2019,4217737
246,PA,2019,12801989
247,RI,2019,1059361
248,SC,2019,5148714
249,SD,2019,884659
250,TN,2019,6829174
251,TX,2019,28995881
252,UT,2019,3205958
253,VT,2019,623989
254,VA,2019,8535519
255,WA,2019,7614893
256,WV,2019,1792147
257,WI,2019,5822434
258,WY,2019,578759
259,PR,2019,3193694
